Class Times	20
Buildings	15
1	B	Park	11
2	B	Bettws	15
3	B	OldLib	22
4	B	Dalton	11
5	B	Carpenter	23
6	B	EngHouse	17
7	B	Goodhart	18
8	H	Sharpless	22
9	H	KINSC	14
10	H	Hilles	11
11	H	Chase	18
12	H	Hall	17
13	H	Roberts	20
14	H	Woodside	14
15	H	Union	17
Rooms	250
45	354	B	BMCClass	3	3
46	488	B	BMCPhys	3	2
47	238	H	HCSoc	4	3
48	265	B	BMCTheater	3	3
49	494	B	BMCEng	3	3
50	306	H	HCEng	4	3
51	113	H	HCMusic	3	2
52	301	B	BMCAnth	2	2
53	434	H	HCMusic	4	2
54	228	B	BMCEduc	4	3
55	435	H	HCCompLit	3	3
56	274	H	HCAfr	3	2
57	406	B	BMCBio	3	3
58	279	B	BMCPsych	3	3
59	42	H	HCBio	3	2
60	124	B	BMCPhil	3	3
61	3	B	BMCArch	4	2
62	179	H	HCAstro	3	3
63	325	B	BMCRus	3	3
64	270	H	HCAstro	3	3
65	483	H	HCEcon	3	3
66	277	H	HCPoli	4	3
67	263	B	BMCPhys	3	2
68	2	B	BMCMath	3	2
69	23	B	BMCEduc	3	3
70	416	B	BMCMath	3	2
71	226	B	BMCMusic	2	2
72	259	H	HCCS	2	2
73	219	B	BMCPhil	4	2
74	453	H	HCPsych	3	3
75	257	H	HCAstro	4	2
76	191	B	BMCTheater	3	3
77	185	H	HCCompLit	4	3
78	471	B	BMCAnth	3	2
79	269	B	BMCHist	3	2
80	425	B	BMCHist	3	3
81	87	B	BMCMath	4	3
82	17	H	HCChem	4	2
83	193	B	BMCTheater	3	2
84	43	B	BMCArtHist	4	2
85	221	B	BMCTheater	4	2
86	353	H	HCHist	3	3
87	81	B	BMCMath	4	2
88	132	H	HCAstro	4	3
89	19	B	BMCAnth	3	2
90	217	B	BMCBio	4	3
91	490	H	HCPhys	3	3
92	370	H	HCLing	4	2
93	271	B	BMCPoli	4	2
94	249	B	BMCHist	4	3
95	469	B	BMCBio	4	2
96	311	B	BMCPsych	4	2
97	227	B	BMCArts	3	3
98	443	H	HCEcon	4	3
99	440	H	HCAfr	3	3
100	479	H	HCAnth	4	3
101	103	B	BMCArts	4	3
102	365	H	HCAnth	4	3
103	101	B	BMCArts	4	3
104	427	H	HCAfr	3	3
105	215	H	HCLing	3	2
106	305	B	BMCAnth	4	3
107	340	H	HCPsych	4	2
108	473	H	HCLing	3	3
109	467	B	BMCCS	4	3
110	9	B	BMCHist	4	3
111	287	H	HCPoli	3	2
112	135	B	BMCEduc	3	2
113	51	H	HCMusic	3	3
114	240	B	BMCMath	4	3
115	119	H	HCRel	2	1
116	197	B	BMCArch	3	2
117	141	H	HCMath	3	2
118	472	H	HCBio	4	3
119	115	H	HCRel	2	2
120	44	B	BMCChem	3	3
121	400	B	BMCArch	4	3
122	430	H	HCPoli	4	2
123	204	H	HCAfr	2	2
124	60	B	BMCPhil	3	3
125	176	H	HCPoli	3	3
126	131	B	BMCPhys	3	3
127	14	B	BMCTheater	3	3
128	187	B	BMCPsych	3	2
129	497	B	BMCArch	2	1
130	474	H	HCChem	3	3
131	126	B	BMCPhys	3	3
132	88	H	HCAstro	4	3
133	378	B	BMCArts	2	2
134	247	B	BMCBio	3	2
135	112	B	BMCEduc	3	2
136	384	B	BMCTheater	2	2
137	262	H	HCMusic	3	2
138	182	H	HCGender	4	3
139	252	B	BMCBio	4	3
140	385	H	HCRel	3	2
141	117	H	HCMath	3	2
142	302	B	BMCEng	3	2
143	461	H	HCSoc	4	2
144	40	B	BMCPhys	4	2
145	281	H	HCAnth	3	2
146	213	H	HCHealth	2	2
147	250	B	BMCMath	4	3
148	245	B	BMCMusic	4	2
149	390	H	HCBio	3	2
150	394	H	HCHist	2	2
151	445	B	BMCAnth	3	2
152	254	H	HCHealth	3	2
153	273	H	HCPsych	4	2
154	318	B	BMCCS	3	3
155	174	B	BMCPsych	3	3
156	220	B	BMCClass	3	3
157	399	H	HCEng	3	3
158	468	H	HCChem	4	2
159	346	H	HCEng	4	2
160	166	H	HCCompLit	4	3
161	433	B	BMCEng	3	2
162	292	H	HCPhys	4	2
163	424	B	BMCHist	3	3
164	288	B	BMCEng	3	3
165	429	B	BMCArts	3	3
166	160	H	HCCompLit	4	2
167	405	H	HCEng	4	3
168	308	B	BMCChem	4	3
169	195	B	BMCCS	3	3
170	261	H	HCRel	4	2
171	342	H	HCRel	3	3
172	230	B	BMCEduc	2	2
173	272	B	BMCHist	3	2
174	155	B	BMCPsych	3	3
175	216	H	HCAstro	3	2
176	125	H	HCPoli	3	2
177	333	H	HCHealth	3	3
178	312	B	BMCSoc	3	2
179	62	H	HCAstro	3	3
180	37	H	HCEng	3	2
181	489	H	HCEng	3	2
182	138	H	HCGender	4	3
183	283	B	BMCPoli	3	2
184	411	H	HCHist	3	3
185	77	H	HCCompLit	4	2
186	446	B	BMCArch	4	2
187	128	B	BMCPsych	3	3
188	368	B	BMCEcon	4	2
189	484	H	HCBio	4	3
190	209	B	BMCPhys	3	2
191	76	B	BMCTheater	3	2
192	253	B	BMCEduc	3	3
193	83	B	BMCTheater	3	2
194	35	B	BMCHist	4	2
195	169	B	BMCCS	3	3
196	260	H	HCChem	3	3
197	116	B	BMCArch	3	3
198	410	H	HCEcon	4	3
199	412	H	HCLing	3	3
200	329	B	BMCArts	4	3
201	381	H	HCSpanish	4	3
202	420	B	BMCHist	3	2
203	456	H	HCPhys	3	2
204	123	H	HCAfr	2	1
205	223	B	BMCCS	4	2
206	208	B	BMCHist	2	2
207	4	H	HCSoc	2	2
208	206	B	BMCHist	2	2
209	190	B	BMCPhys	3	3
210	310	B	BMCArch	4	2
211	470	B	BMCArch	4	2
212	442	B	BMCSoc	3	3
213	146	H	HCHealth	2	2
214	266	H	HCGender	3	2
215	105	H	HCLing	3	3
216	175	H	HCAstro	3	3
217	90	B	BMCBio	4	2
218	454	H	HCPsych	3	2
219	73	B	BMCPhil	4	3
220	156	B	BMCClass	3	2
221	85	B	BMCTheater	4	3
222	377	H	HCMusic	3	2
223	205	B	BMCCS	4	3
224	280	H	HCAnth	4	2
225	417	B	BMCEcon	3	3
226	71	B	BMCMusic	2	1
227	97	B	BMCArts	3	2
228	54	B	BMCEduc	4	3
229	457	H	HCGender	2	2
230	172	B	BMCEduc	2	2
231	12	B	BMCEng	2	2
232	294	H	HCLing	3	2
233	26	H	HCCompLit	3	3
234	491	H	HCMath	3	2
235	373	B	BMCEcon	4	2
236	360	H	HCRel	4	2
237	341	H	HCGender	3	2
238	47	H	HCSoc	4	2
239	251	B	BMCClass	2	1
240	114	B	BMCMath	4	2
241	359	H	HCRel	3	3
242	30	H	HCCS	3	3
243	379	B	BMCRus	3	3
244	397	B	BMCSoc	3	2
245	148	B	BMCMusic	4	3
246	439	B	BMCCS	3	3
247	134	B	BMCBio	3	3
248	414	H	HCCompLit	3	2
249	94	B	BMCHist	4	3
250	147	B	BMCMath	4	3
251	239	B	BMCClass	2	2
252	139	B	BMCBio	4	3
253	192	B	BMCEduc	3	3
254	152	H	HCHealth	3	2
255	444	H	HCRel	3	2
256	393	B	BMCPhil	3	2
257	75	H	HCAstro	4	2
258	372	H	HCPoli	3	3
259	72	H	HCCS	2	2
260	196	H	HCChem	3	3
261	170	H	HCRel	4	3
262	137	H	HCMusic	3	3
263	67	B	BMCPhys	3	3
264	11	H	HCCompLit	3	3
265	48	B	BMCTheater	3	2
266	214	H	HCGender	3	3
267	300	B	BMCMath	4	2
268	282	B	BMCSoc	3	2
269	79	B	BMCHist	3	3
270	64	H	HCAstro	3	2
271	93	B	BMCPoli	4	3
272	173	B	BMCHist	3	2
273	153	H	HCPsych	4	2
274	56	H	HCAfr	3	3
275	450	H	HCEng	3	3
276	290	H	HCHist	3	3
277	66	H	HCPoli	4	3
278	336	H	HCAnth	3	2
279	58	B	BMCPsych	3	3
280	224	H	HCAnth	4	3
281	145	H	HCAnth	3	3
282	268	B	BMCSoc	3	3
283	183	B	BMCPoli	3	2
284	13	H	HCHist	3	3
285	415	H	HCSpanish	4	3
286	451	H	HCPsych	4	3
287	111	H	HCPoli	3	3
288	164	B	BMCEng	3	3
289	20	H	HCChem	3	2
290	276	H	HCHist	3	3
291	358	B	BMCClass	3	2
292	162	H	HCPhys	4	3
293	349	H	HCPoli	3	2
294	232	H	HCLing	3	2
295	299	B	BMCCS	3	2
296	367	B	BMCEduc	2	1
297	396	B	BMCMath	3	3
298	5	H	HCAnth	3	3
299	295	B	BMCCS	3	3
300	267	B	BMCMath	4	3
301	52	B	BMCAnth	2	2
302	142	B	BMCEng	3	3
303	362	B	BMCEng	3	2
304	39	B	BMCArch	2	2
305	106	B	BMCAnth	4	2
306	50	H	HCEng	4	3
307	363	H	HCMath	4	2
308	168	B	BMCChem	4	2
309	16	H	HCCompLit	2	2
310	210	B	BMCArch	4	3
311	96	B	BMCPsych	4	3
312	178	B	BMCSoc	3	3
313	465	B	BMCEng	4	3
314	403	H	HCCS	2	2
315	387	H	HCGender	3	3
316	8	H	HCSpanish	4	2
317	499	B	BMCChem	3	3
318	154	B	BMCCS	3	3
319	371	B	BMCClass	4	3
320	485	B	BMCClass	3	2
321	32	B	BMCPhys	3	2
322	449	B	BMCChem	4	3
323	476	B	BMCBio	2	2
324	386	H	HCAstro	3	3
325	63	B	BMCRus	3	3
326	328	H	HCRel	2	1
327	36	H	HCRel	3	2
328	326	H	HCRel	2	2
329	200	B	BMCArts	4	3
330	438	B	BMCPhil	2	1
331	391	B	BMCPhil	3	3
332	466	H	HCSpanish	4	2
333	177	H	HCHealth	3	3
334	480	B	BMCMusic	4	2
335	475	H	HCSoc	3	2
336	278	H	HCAnth	3	3
337	10	H	HCCompLit	3	3
338	463	B	BMCAnth	4	3
339	34	B	BMCPhys	4	2
340	107	H	HCPsych	4	3
341	237	H	HCGender	3	3
342	171	H	HCRel	3	2
343	407	B	BMCSoc	4	2
344	7	H	HCHist	4	2
345	495	B	BMCBio	3	3
346	159	H	HCEng	4	2
347	31	B	BMCSoc	2	1
348	41	B	BMCCities	3	2
349	293	H	HCPoli	3	3
350	496	H	HCAstro	3	3
351	428	H	HCAstro	4	2
352	493	H	HCChem	4	2
353	86	H	HCHist	3	3
354	45	B	BMCClass	3	3
355	487	H	HCRel	4	3
356	33	B	BMCRus	3	3
357	448	H	HCChem	3	3
358	291	B	BMCClass	3	3
359	241	H	HCRel	3	2
360	236	H	HCRel	4	3
361	447	H	HCEcon	3	2
362	303	B	BMCEng	3	2
363	307	H	HCMath	4	2
364	383	B	BMCPoli	4	3
365	102	H	HCAnth	4	3
366	426	H	HCCompLit	3	3
367	296	B	BMCEduc	2	1
368	188	B	BMCEcon	4	2
369	478	H	HCRel	4	3
370	92	H	HCLing	4	3
371	319	B	BMCClass	4	2
372	258	H	HCPoli	3	2
373	235	B	BMCEcon	4	2
374	441	H	HCAstro	3	3
375	402	B	BMCPhil	3	3
376	395	B	BMCMath	2	2
377	222	H	HCMusic	3	3
378	133	B	BMCArts	2	2
379	243	B	BMCRus	3	3
380	419	H	HCEcon	3	3
381	201	H	HCSpanish	4	2
382	459	H	HCCS	3	2
383	364	B	BMCPoli	4	3
384	136	B	BMCTheater	2	1
385	140	H	HCRel	3	3
386	324	H	HCAstro	3	2
387	315	H	HCGender	3	3
388	421	H	HCMusic	3	2
389	418	H	HCRel	3	3
390	149	H	HCBio	3	3
391	331	B	BMCPhil	3	3
392	500	H	HCEcon	4	2
393	256	B	BMCPhil	3	3
394	150	H	HCHist	2	2
395	376	B	BMCMath	2	2
396	297	B	BMCMath	3	2
397	244	B	BMCSoc	3	3
398	460	B	BMCEduc	4	3
399	157	H	HCEng	3	2
400	121	B	BMCArch	4	3
401	27	B	BMCAnth	2	2
402	375	B	BMCPhil	3	3
403	314	H	HCCS	2	2
404	432	H	HCEcon	3	2
405	167	H	HCEng	4	2
406	57	B	BMCBio	3	3
407	343	B	BMCSoc	4	3
408	6	H	HCBio	2	2
409	436	B	BMCRus	3	3
410	198	H	HCEcon	4	2
411	184	H	HCHist	3	3
412	199	H	HCLing	3	2
413	22	B	BMCArts	3	3
414	248	H	HCCompLit	3	3
415	285	H	HCSpanish	4	2
416	70	B	BMCMath	3	3
417	225	B	BMCEcon	3	2
418	389	H	HCRel	3	3
419	380	H	HCEcon	3	3
420	202	B	BMCHist	3	3
421	388	H	HCMusic	3	2
422	38	H	HCCS	2	1
423	462	B	BMCPhys	2	2
424	163	B	BMCHist	3	3
425	80	B	BMCHist	3	2
426	366	H	HCCompLit	3	3
427	104	H	HCAfr	3	3
428	351	H	HCAstro	4	2
429	165	B	BMCArts	3	2
430	122	H	HCPoli	4	3
431	481	H	HCMusic	3	3
432	404	H	HCEcon	3	3
433	161	B	BMCEng	3	2
434	53	H	HCMusic	4	3
435	55	H	HCCompLit	3	3
436	409	B	BMCRus	3	2
437	486	H	HCSpanish	2	1
438	330	B	BMCPhil	2	2
439	246	B	BMCCS	3	2
440	99	H	HCAfr	3	2
441	374	H	HCAstro	3	2
442	212	B	BMCSoc	3	3
443	98	H	HCEcon	4	3
444	255	H	HCRel	3	2
445	151	B	BMCAnth	3	2
446	186	B	BMCArch	4	3
447	361	H	HCEcon	3	2
448	357	H	HCChem	3	2
449	322	B	BMCChem	4	3
450	275	H	HCEng	3	2
451	286	H	HCPsych	4	3
452	24	H	HCAnth	4	3
453	74	H	HCPsych	3	3
454	218	H	HCPsych	3	3
455	477	H	HCHealth	3	3
456	203	H	HCPhys	3	2
457	229	H	HCGender	2	2
458	29	B	BMCEng	4	2
459	382	H	HCCS	3	3
460	398	B	BMCEduc	4	3
461	143	H	HCSoc	4	2
462	423	B	BMCPhys	2	2
463	338	B	BMCAnth	4	3
464	21	B	BMCPhys	3	3
465	313	B	BMCEng	4	2
466	332	H	HCSpanish	4	3
467	109	B	BMCCS	4	2
468	158	H	HCChem	4	3
469	95	B	BMCBio	4	3
470	211	B	BMCArch	4	3
471	78	B	BMCAnth	3	3
472	118	H	HCBio	4	3
473	108	H	HCLing	3	2
474	130	H	HCChem	3	3
475	335	H	HCSoc	3	2
476	323	B	BMCBio	2	2
477	455	H	HCHealth	3	3
478	369	H	HCRel	4	3
479	100	H	HCAnth	4	2
480	334	B	BMCMusic	4	2
481	431	H	HCMusic	3	2
482	18	B	BMCPsych	3	3
483	65	H	HCEcon	3	3
484	189	H	HCBio	4	2
485	320	B	BMCClass	3	2
486	437	H	HCSpanish	2	1
487	355	H	HCRel	4	3
488	46	B	BMCPhys	3	2
489	181	H	HCEng	3	3
490	91	H	HCPhys	3	2
491	234	H	HCMath	3	3
492	15	B	BMCClass	4	2
493	352	H	HCChem	4	2
494	49	B	BMCEng	3	3
495	345	B	BMCBio	3	2
496	350	H	HCAstro	3	3
497	129	B	BMCArch	2	1
498	1	B	BMCEduc	4	2
499	317	B	BMCChem	3	2
500	392	H	HCEcon	4	2
