Course	Room	Teacher	Time	Students
17	4	17	4	25 51 66 107 112 113 168 171 179 180 181 182 185 210 225 236 251 286 291 293 313 342 344 352 356 395 399 410 476 492 493 498 505 511 538 565 566 568 590 656 676 746 772 787 813 831 881 882 895 919 924 933 934 940 994 
18	7	19	3	35 40 42 56 59 99 142 154 168 177 178 222 224 232 238 240 246 268 274 281 298 308 318 332 373 376 389 410 434 452 557 561 579 605 663 672 688 690 694 727 730 731 738 749 751 752 753 791 810 811 828 834 852 855 864 911 919 950 958 964 986 988 989 996 
19	2	16	4	9 10 12 32 53 74 82 97 147 151 159 196 273 274 287 289 312 326 338 351 367 377 404 418 430 458 474 522 530 547 557 593 596 606 608 612 620 624 648 715 753 755 789 803 857 865 871 872 876 909 953 957 975 979 
20	5	21	2	18 28 34 44 57 62 96 100 102 104 118 128 130 162 164 169 177 233 250 259 273 306 372 374 384 387 390 412 416 433 445 448 500 552 594 606 630 644 703 706 709 733 736 745 748 762 777 778 788 789 804 841 849 865 872 885 904 907 918 928 939 947 949 959 963 
21	3	22	5	8 42 63 82 85 104 121 139 143 144 152 174 182 217 252 262 271 276 296 304 344 349 354 357 390 421 427 428 437 440 448 451 452 500 519 520 530 544 583 601 605 607 609 610 626 631 637 638 646 649 662 675 699 746 792 794 802 808 816 820 883 888 919 924 953 959 972 983 1000 
22	5	12	1	4 58 76 84 86 92 112 125 127 132 141 184 200 242 248 258 296 302 328 334 344 402 403 410 414 416 421 445 455 458 460 483 491 511 541 549 570 572 586 589 613 621 650 652 673 685 703 729 734 735 745 750 767 787 820 824 829 848 874 877 885 912 922 978 986 992 
23	3	2	4	1 31 37 45 95 99 101 119 158 187 200 223 244 261 262 266 279 290 307 309 314 329 349 350 357 364 383 384 385 405 462 464 477 491 503 525 587 591 611 619 633 643 653 663 690 692 745 752 758 785 799 835 844 845 851 859 893 910 911 935 936 950 984 990 995 998 
24	3	21	3	4 9 11 55 81 116 140 157 170 174 216 225 255 263 269 271 279 294 299 307 314 335 337 347 351 398 411 443 444 469 484 487 488 500 510 528 576 586 587 601 604 617 628 644 645 651 656 670 708 711 728 762 767 792 818 820 829 856 858 879 903 905 918 951 987 997 
25	3	7	1	2 6 11 31 48 82 97 108 114 118 137 138 158 181 191 202 208 218 238 281 290 297 300 303 307 312 320 338 345 346 350 358 397 408 427 429 436 454 461 469 476 493 495 517 520 531 550 601 610 618 627 644 674 714 732 733 736 738 742 764 766 770 807 810 887 951 
26	4	20	5	20 31 89 95 142 149 203 205 208 229 250 258 265 287 293 329 331 342 359 372 381 393 399 403 416 423 442 444 450 455 466 488 496 498 515 564 569 592 620 640 648 652 660 665 684 689 702 737 745 758 813 835 863 894 923 941 966 977 
27	10	6	3	20 24 32 37 51 54 62 69 70 109 134 166 167 176 259 260 309 326 334 343 369 377 395 404 416 418 420 439 447 448 471 473 504 520 531 544 559 563 571 591 599 613 646 657 667 671 678 698 721 747 754 759 768 779 798 799 885 894 901 923 925 942 947 956 993 
28	3	2	2	3 11 36 46 58 59 67 69 72 99 115 119 147 155 161 166 176 186 192 201 204 205 208 269 277 283 301 307 319 349 358 361 371 381 403 462 467 481 489 497 499 512 530 535 540 547 558 561 571 580 581 603 608 615 621 641 729 743 786 806 817 826 842 843 848 890 919 922 943 962 992 
29	6	13	4	5 24 59 60 70 88 114 116 137 146 203 221 260 300 315 347 358 375 378 397 400 427 434 440 441 466 468 472 483 484 510 548 554 559 614 681 687 689 700 736 773 808 809 866 875 894 904 912 914 920 942 954 955 
30	9	4	4	7 26 58 76 81 91 130 132 135 149 153 165 220 226 237 263 267 270 272 275 303 323 325 370 391 412 444 450 524 526 527 541 550 564 581 691 704 714 737 741 769 797 812 814 849 860 863 873 880 892 897 908 913 918 962 969 971 974 
31	2	5	2	22 55 68 75 80 83 93 94 133 150 181 184 195 198 245 249 265 275 289 318 377 423 440 494 504 513 527 553 614 624 664 694 712 722 758 765 774 781 791 792 837 856 878 893 936 941 964 984 
32	9	18	3	14 17 49 50 65 74 121 122 125 135 145 146 156 158 205 207 229 247 253 276 312 321 355 388 390 392 399 417 427 437 449 478 479 481 507 522 534 547 575 589 611 635 643 654 662 693 699 700 705 725 757 763 800 805 851 876 889 908 910 941 943 955 
33	8	25	5	2 28 38 44 97 126 129 132 164 171 237 244 257 266 290 303 308 313 336 382 384 438 454 471 477 481 484 504 508 517 521 622 636 696 698 706 708 723 767 769 772 795 826 836 842 857 862 866 867 892 893 898 909 911 915 935 946 962 965 976 
34	8	8	4	13 14 16 35 77 85 134 172 191 198 227 228 233 249 268 278 310 339 368 387 393 425 442 449 461 487 512 531 533 567 574 586 594 604 627 641 649 655 664 671 673 686 699 702 707 721 735 739 743 790 791 801 816 840 850 868 922 931 960 978 999 
35	7	22	4	38 57 103 110 120 150 157 205 215 216 243 248 253 254 257 258 282 319 321 322 360 361 362 394 423 436 451 453 454 455 456 473 475 509 540 575 582 583 584 602 625 658 661 665 668 669 695 698 713 718 740 748 768 776 810 811 819 824 951 976 992 997 
36	1	14	1	3 56 64 95 98 105 129 142 162 171 176 186 199 204 260 268 301 315 318 327 335 364 367 387 389 405 420 428 435 444 446 463 485 488 503 526 528 578 623 629 642 655 661 686 723 749 755 777 788 818 846 871 880 905 930 960 961 962 965 972 
37	5	4	5	6 58 67 68 76 86 94 118 138 145 154 219 220 230 263 264 283 305 317 406 431 453 464 468 491 533 543 551 562 580 633 642 669 676 691 711 719 730 761 782 785 800 806 850 854 858 875 890 896 926 933 938 956 974 981 985 988 
38	10	6	2	8 24 65 89 117 122 151 200 207 229 235 236 254 272 278 294 299 302 340 359 382 383 396 408 411 413 414 424 451 492 519 544 567 585 586 593 623 633 637 645 647 650 655 656 657 669 672 673 675 702 708 718 719 720 738 741 761 764 793 803 814 822 836 853 874 877 898 914 944 991 993 999 1000 
39	2	25	5	4 23 25 101 109 110 117 122 153 157 167 179 183 194 204 254 261 297 311 321 366 368 387 417 432 435 457 458 486 499 623 627 630 645 693 703 718 727 748 841 891 897 930 932 948 955 967 
40	1	11	4	30 40 43 89 92 96 108 131 154 197 232 240 242 269 306 308 324 331 363 402 415 433 445 452 486 495 508 528 542 549 552 558 561 569 573 576 599 613 623 628 685 720 723 727 763 770 836 886 901 903 906 925 932 981 1000 
41	9	8	5	7 15 35 36 78 96 106 116 120 123 137 161 189 190 198 200 239 285 286 292 294 300 315 320 348 365 370 409 412 422 430 439 447 461 472 474 483 603 624 647 692 695 705 710 712 731 738 768 773 777 779 789 799 805 819 824 838 852 912 925 939 944 950 973 994 
42	1	24	3	5 12 21 25 39 52 79 84 93 118 123 155 175 198 226 234 313 364 380 386 402 409 472 485 508 512 545 556 566 592 593 602 622 642 653 666 681 692 712 775 784 788 812 825 847 871 882 921 926 937 968 981 985 1000 
43	9	23	2	21 27 32 71 73 79 86 108 112 136 142 182 183 191 196 202 206 242 266 292 309 329 334 343 346 348 354 357 362 379 415 431 438 442 456 459 470 482 529 541 543 605 635 646 652 658 677 697 710 726 734 753 755 756 801 813 828 883 891 896 911 952 957 971 980 983 985 
44	1	13	5	1 10 13 45 83 128 166 187 195 196 207 216 241 267 284 310 323 356 383 386 391 394 395 420 426 434 449 502 523 524 536 552 553 554 581 599 625 634 658 680 724 734 747 765 774 807 817 822 825 832 834 844 889 902 906 907 916 920 922 929 936 947 961 989 996 
45	6	23	3	2 29 41 71 77 78 91 132 149 152 165 173 180 182 185 193 203 214 230 233 239 275 295 340 352 358 412 415 438 460 465 519 560 583 598 616 620 638 652 665 682 760 771 809 819 843 861 865 870 890 897 899 915 932 933 952 961 963 974 983 990 998 
46	5	15	4	19 28 39 69 73 83 84 98 111 139 189 192 234 288 294 298 305 317 332 354 398 432 459 465 478 488 518 521 545 546 609 610 617 639 651 662 683 706 742 756 760 807 823 827 838 842 862 864 879 889 915 921 927 937 941 991 
47	7	24	1	22 35 41 49 75 85 128 130 164 167 174 179 192 195 212 217 232 245 251 253 282 336 337 352 371 372 373 407 413 419 424 430 440 452 468 494 529 538 559 585 596 616 659 666 672 682 694 705 841 843 858 892 927 944 949 964 966 971 
48	6	16	2	2 10 42 52 103 163 189 216 231 232 279 296 297 315 316 328 330 341 345 376 392 400 436 443 469 473 479 496 503 507 521 534 590 600 609 618 649 660 679 691 744 749 784 798 805 821 831 873 882 965 
49	10	15	5	22 27 30 34 40 64 74 77 107 124 125 134 140 163 175 185 199 215 227 235 272 288 314 322 327 328 332 333 335 337 373 397 400 401 404 415 509 518 550 566 582 587 596 602 650 651 659 677 754 783 801 811 812 830 833 845 860 870 878 881 887 914 917 982 993 995 997 
50	2	18	1	7 17 19 20 25 30 47 52 54 91 123 151 156 183 189 206 222 241 249 311 341 366 385 392 422 425 426 530 534 542 546 562 564 600 630 637 639 687 697 713 716 776 786 870 872 884 898 917 953 983 988 
